iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,12.836931943893433,-2.2508050890522195,10.300962361497298,69.28190220554359,-8.376758074654882,0.0,1.3670778028292403,0.05,0.06210827827453613,1.531069278717041,0.02452773,0.0414737,-2.2508050890522195,0.0,40000,1.4362123012542725,0.9989750539859366,0.8102996270999687,-4.644365924753461,0.0
1,13.480992317199707,-3.6149493388795872,7.641155752121078,62.70339387637228,-8.719774633151804,0.0,1.4436127048580312,0.05,0.0543673038482666,1.3537349700927734,0.024934452,0.034716155,-2.387219514034957,0.0,40000,2.366842031478882,0.9548403275336407,0.7191113367053876,-4.397030570174785,0.0
2,12.514643669128418,-3.7621532050831132,5.260599741810486,55.41875759039032,-8.482247453662499,0.0,1.37554996196129,0.05,0.05784273147583008,1.3588812351226807,0.02470049,0.040967494,-2.5247128831397725,0.0,40000,3.101871967315674,0.8957394649038822,0.6789834374737949,-4.141674669188688,0.0
3,11.650515079498291,-2.064083519707557,9.89707306648717,50.31680464393072,-11.618629742693614,0.0,1.3533509532782177,0.05,0.060837507247924805,1.5499610900878906,0.025058193,0.04568324,-2.4786499467965513,0.0,40000,3.3979289531707764,0.8378140231693246,0.6749458135397471,-4.078419662823425,0.0
4,11.530085563659668,-1.4657725316585681,13.889493908214941,113.57068259292329,-11.752364344096362,0.0,1.4824297099919206,0.05,0.05385613441467285,1.5421345233917236,0.024900962,0.036434893,-2.377362205282753,0.0,40000,3.282745122909546,0.8318251893558519,0.7247871379009846,-3.5356590284780895,0.0
5,13.160523176193237,-1.147531015430809,13.224319933172572,78.98134480908801,-9.838147568114032,0.0,1.442822602513871,0.05,0.07032132148742676,2.0965795516967773,0.025264662,0.03613594,-2.254379086297559,0.0,40000,3.277008533477783,0.7038892675763433,0.5875235145661095,-3.9921361382301597,0.0
6,13.575857162475586,-0.8610754118230562,12.840916103331978,70.13293355981378,-9.230057970448621,0.0,1.32983653006761,0.05,0.0533747673034668,1.4738311767578125,0.02471322,0.038486816,-2.115048718850109,0.0,40000,3.1605708599090576,0.7531950220737254,0.6208199934883438,0.5783811998853587,0.0
7,13.618083000183105,6.1094344076440015,59.36775677919936,739.3762779650523,-9.51280243501553,0.5,1.7047876447734847,0.05,0.05584979057312012,1.6251990795135498,0.026036121,0.035068538,-1.2926004062006982,0.5,40000,3.177448034286499,0.9152753223470251,0.7513401276760727,1.8078416452901898,0.0
8,13.527835607528687,0.5643482263799696,25.082364543405163,285.19916715417503,-12.172928699252534,0.0,1.2489250261784222,0.05,0.0718080997467041,1.4617252349853516,0.024892401,0.03860151,-1.1069055429426315,0.0,40000,3.1832339763641357,1.0117763303003593,0.7108999702670358,6.486428290509089,0.0
9,13.614399194717407,-0.09300339421237798,16.561764090037794,128.3877670039615,-9.706393172024292,0.0,1.25525878191903,0.05,0.05884242057800293,1.4961035251617432,0.025175799,0.04261571,-1.0055153280696063,0.0,40000,3.1720292568206787,0.8963598738178323,0.7283024684346451,6.538780771104277,0.0
10,13.625906944274902,5.848495682024557,55.976801121119735,670.8628899561427,-11.129828749659278,0.5,1.2209397704197436,0.05,0.057869672775268555,1.5633220672607422,0.024377441,0.029648982,-0.32011422706019,0.5,40000,3.3103229999542236,0.8486517913438897,0.6519968997843609,6.471188345995317,0.0
11,13.681441307067871,3.6750397969724573,56.59772773973603,742.6129133041479,-13.625118034717593,0.5,1.3701848119362479,0.05,0.057845115661621094,1.542496681213379,0.02500101,0.035432007,0.07940117534307473,0.5,40000,3.12671160697937,0.7681849809114155,0.5633369178732508,2.9165150937136044,0.0
12,13.773432493209839,3.7754424174488657,32.701653251243016,382.8569746120936,-8.779656429731169,0.0,1.2607035706257896,0.05,0.057364463806152344,1.5188484191894531,0.02470654,0.038584698,0.44900529955365387,0.0,40000,3.1684460639953613,1.5604426039871682,0.8586822652536897,6.183112877370487,0.0
13,13.824846267700195,0.4773411096683516,16.390080669135806,99.60808634233207,-8.340444317907107,0.0,1.3767322541920735,0.05,0.05585479736328125,1.4693288803100586,0.02537803,0.036517076,0.45183888056512367,0.0,40000,3.2901813983917236,0.8000383251964596,0.6610414868364856,5.126250103559598,0.0
14,13.771263599395752,8.65548672857827,62.55014466856142,693.9525240855357,-12.147716279258969,1.0,1.4745121676011121,0.05,0.057848215103149414,1.5311791896820068,0.02608319,0.04475514,1.2722036653664384,1.0,40000,3.2989697456359863,0.8809707940807239,0.6211324189049373,4.862279796874756,0.0
15,13.528072118759155,8.566635148587453,72.76095035651613,737.5370125479517,-11.01948391747267,1.5,1.3563362846796447,0.05,0.05736374855041504,1.6176502704620361,0.025460908,0.044000592,2.0016468136885397,1.5,40000,3.124518394470215,0.8033193580675265,0.5454821055172958,18.20520666672682,0.0
16,13.996276140213013,8.902772983227717,51.47839800147687,465.92649257874257,-13.078931252899011,0.5,1.22621822544387,0.05,0.05836629867553711,1.4995625019073486,0.02504105,0.044664457,2.6917594306424575,0.5,40000,3.302011013031006,0.8361467608567307,0.5315318278851296,27.277210341865835,0.0
17,13.846943140029907,7.002533976699474,38.032856201092514,328.39931772592945,-14.581420707337479,0.0,1.4212204096465733,0.05,0.05935811996459961,1.48305344581604,0.025003538,0.03686772,3.1228368852481596,0.0,40000,3.324917793273926,0.9740522231536977,0.5226667535898678,30.80739679865477,0.0
18,13.919206142425537,7.182341499310493,41.133771170877864,477.85359143634247,-10.12593088435249,0.5,1.3136279125908537,0.05,0.05884218215942383,1.5238449573516846,0.025524078,0.041436523,3.528787346654393,0.5,40000,3.136885643005371,0.7674622260370596,0.5776103788081619,22.578124103005266,0.0
19,13.64448094367981,3.987091750965335,21.77828482610456,167.1115243597389,-12.330575100220779,0.0,1.3108946857341226,0.05,0.05836367607116699,1.4756207466125488,0.025346186,0.040611804,3.5746177870854874,0.0,40000,3.1682732105255127,0.9185563767187596,0.6241460116196021,29.61658792209947,0.0
20,13.366352319717407,5.848238574119174,28.539354185047927,217.89813847096266,-14.191761680112682,0.0,1.4824419070157933,0.05,0.05486893653869629,1.5737674236297607,0.025061663,0.03585153,3.8019798657888564,0.0,40000,3.131739377975464,0.702502211322126,0.5955189840050242,18.634447760855956,0.0
21,14.358094215393066,11.254529561444597,34.54918471931307,222.13953243632017,-14.199921518313072,0.0,1.4073164819526005,0.05,0.054874420166015625,1.4652092456817627,0.025200801,0.039020784,4.5472348353544305,0.0,40000,2.9813249111175537,0.7720945923960196,0.6007631502357259,28.17217936850573,0.0
22,13.514649629592896,17.824893896068804,68.56287312768175,605.0135565368233,-11.52211617300928,1.5,1.4568783701287722,0.05,0.05884194374084473,1.4811255931854248,0.025704691,0.03790387,5.875000741425868,1.5,40000,3.2243916988372803,0.795685309611563,0.6225085112181604,44.046878292652465,4.0
23,13.53557562828064,11.07110673937073,37.71813099690603,264.11312427886816,-11.01362130562963,0.0,1.391874546901335,0.05,0.05536484718322754,1.4698891639709473,0.02459722,0.03532188,6.3946113412203545,0.0,40000,3.3956568241119385,0.9386465635937478,0.5387936579674802,46.784234747746375,0.0
24,13.27436089515686,9.208959925460563,47.6491544285045,371.5613279645821,-12.352276165515354,0.0,1.2231039895932334,0.05,0.05385708808898926,1.4641177654266357,0.024314927,0.06856778,6.676046199644376,0.0,40000,3.3877220153808594,0.8283115970068587,0.6345999580336422,59.404229192170334,0.0
25,13.0832679271698,17.079542615473926,71.38645728544007,603.4000734054272,-13.46491760928567,0.5,1.1135122545593632,0.05,0.055371761322021484,1.7972092628479004,0.024725204,0.0541766,7.716395841227331,0.5,40000,3.2309842109680176,0.8037702092621917,0.6037097634451887,60.35500305005436,0.0
26,14.108217477798462,16.31168761950124,49.61661939398552,376.7273659844403,-13.414569343853241,0.0,1.4050924703391017,0.05,0.08130145072937012,1.873500108718872,0.024972882,0.0359223,8.575925019054722,0.0,40000,3.189429521560669,0.7051303733568067,0.5114951172302438,60.84084366004303,4.0
27,13.507463693618774,18.023143520301332,57.727987985024534,523.8269099673373,-10.853944180310743,0.5,1.4211640550673106,0.05,0.059350013732910156,1.4368181228637695,0.024851542,0.038239874,9.520646869179384,0.5,40000,3.131272792816162,0.7377586652633853,0.5808769438329294,55.900663334283855,4.0
28,14.062429666519165,17.38716255704029,69.13523993362385,712.8735172277494,-12.468527546036094,1.0,1.4669671690983817,0.05,0.05981898307800293,1.526602029800415,0.024770504,0.03877478,10.307298437965475,1.0,40000,3.057359457015991,0.7487640826724342,0.5792956204632871,36.487889605629135,4.0
29,14.280707597732544,14.847912382079848,40.15595046613615,299.51255864542657,-13.198238718066582,0.0,1.4000591151603456,0.05,0.053849220275878906,1.5106115341186523,0.025138268,0.03682929,10.761359832376913,0.0,40000,3.022624969482422,0.8439734723714695,0.5603092299919323,53.17526507047373,0.0
30,13.728147029876709,20.35862719730168,62.29734988838801,436.6569261224964,-15.504288889604174,0.5,1.4474025731778857,0.05,0.07679486274719238,1.5205309391021729,0.024777677,0.037965614,11.72108656886939,0.5,40000,3.0621631145477295,0.7609800397396308,0.5424685553204321,81.28594850556787,4.0
31,13.944230794906616,32.93116343195295,109.94825860499226,1272.7940982448017,-12.897617864704708,1.0,1.6602826194788403,0.05,0.05485081672668457,1.5300309658050537,0.024792306,0.033965703,13.842094255177747,1.0,40000,3.278632164001465,0.7960132466689221,0.5763739677691745,74.61615302944966,8.0
32,13.943765878677368,50.94099862490628,154.87379282675852,1373.7992636388503,-15.95884211857873,3.0,1.462423516497457,0.05,0.05585336685180664,1.5133056640625,0.02513344,0.036812242,17.5519846921506,3.0,40000,3.1013023853302,0.7526679268338893,0.6189310308229462,72.71544026937634,4.0
33,14.310998916625977,29.964062124990576,71.35599774271458,612.9315624283563,-7.379548690981952,0.5,1.531560794104508,0.05,0.0593571662902832,1.5169124603271484,0.024924543,0.03209169,18.793192435434598,0.5,40000,2.975449800491333,1.0246881405498516,0.5779566278896378,76.81125647824372,4.0
34,14.187085628509521,29.436404071324905,82.39910850959988,697.2422936328785,-12.501067480383213,2.0,1.465402663803368,0.05,0.05884552001953125,1.489414930343628,0.025385724,0.037119295,19.85751359902363,2.0,40000,3.0930404663085938,0.7028553638465359,0.5681647813872005,42.05597040574612,0.0
35,14.186983108520508,35.52890182733585,95.9845161457282,797.7468161516764,-13.358379954230026,1.5,1.4094314904552339,0.05,0.05737113952636719,1.5166127681732178,0.02541396,0.04012544,21.42465242185485,1.5,40000,3.2238364219665527,0.6645520622782196,0.5327150718576548,46.87019981858211,0.0
36,14.070521354675293,46.21919989591146,100.75610330512835,568.5116092340031,-16.48231441312111,2.5,1.4927334009988502,0.05,0.05685114860534668,1.648390531539917,0.02520357,0.033693846,23.904107169260513,2.5,40000,3.0964102745056152,0.6538916587791449,0.48816866534800635,71.15323348581015,4.0
37,14.302865743637085,55.87304585999358,137.3919477196806,1021.7737487490452,-9.887726620373337,3.0,1.55342450553872,0.05,0.059362173080444336,1.5534322261810303,0.024899773,0.033310078,27.10100103833382,3.0,40000,3.239126682281494,0.6061674511223127,0.48301028829247467,103.35250771691217,8.0
38,14.403460025787354,66.14300753492829,145.33170435576957,946.0487186187657,-11.723290518086777,5.0,1.4675467698689815,0.05,0.05537223815917969,1.4965994358062744,0.024770468,0.035130013,31.00520168799327,5.0,40000,3.3016083240509033,0.6260822156337763,0.4769137737303639,89.51169624838643,8.0
39,14.782167673110962,60.46529517023908,152.33867075926423,1237.9155018286567,-10.983487607776249,4.0,1.428524910547937,0.05,0.055379629135131836,1.4781248569488525,0.025011549,0.036682878,33.95121103621785,4.0,40000,3.0617856979370117,0.6132621932997739,0.49707447841723934,125.9239682297216,4.0
40,14.299694776535034,100.19907825298552,238.5945305967423,1714.7399289902198,-13.262525724058124,6.0,1.5174291943286282,0.05,0.05636882781982422,1.4888112545013428,0.025181562,0.034436263,40.57599775789462,6.0,40000,3.1078577041625977,0.6627118371053774,0.5249486467123925,97.99995713437194,8.0
41,14.193239688873291,87.76331725841051,196.37294857246295,1368.035894312876,-10.327040720949578,4.5,1.4732725201725891,0.05,0.05485272407531738,1.4842638969421387,0.0247422,0.03452541,45.29472970794621,4.5,40000,3.224839448928833,0.6864610093864973,0.5598537095878908,77.52573354841952,0.0
42,14.378264665603638,68.7133578695739,134.79476519732404,1199.9970403296686,-11.87711939180197,2.0,1.5591121886738375,0.05,0.05836653709411621,1.4559199810028076,0.02497077,0.03205692,47.63659252410898,2.0,40000,3.282228708267212,0.7017506737922731,0.4884358005810903,74.74173925890219,4.0
43,14.278304100036621,85.88233335999026,188.9278505408772,1451.0712022845244,-9.03315760811502,5.5,1.6746172267250898,0.05,0.05684852600097656,1.537796974182129,0.024867712,0.03161484,51.46116660769711,5.5,40000,3.4393510818481445,0.6528329473390166,0.5446449699778529,106.80126077163983,8.0
44,14.278819799423218,117.72507403701708,201.8315793081125,1254.771021639773,-13.175849526057727,10.5,1.5711796088732737,0.05,0.08229637145996094,2.1404731273651123,0.025238404,0.032659404,58.08755735062911,10.5,40000,3.079841375350952,0.5598099026658496,0.44544806204270504,104.71353687051057,4.0
45,14.17276382446289,136.47552090136622,234.85761979879902,1324.298749708263,-14.169700179527107,13.0,1.589808819519585,0.05,0.07830524444580078,1.6132757663726807,0.02490994,0.0324661,65.92635370570282,13.0,40000,3.073380708694458,0.5510449568853435,0.42032303895680967,205.95234162893902,12.0
