iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,9.629571676254272,-2.2508050890522195,10.300962361497298,69.28190220554359,-8.376758074654882,0.0,170.92082531714124,0.05,0.05736231803894043,1.3388993740081787,0.024602247,0.041477654,-2.2508050890522195,0.0,40000,1.2739009857177734,0.9992325575563978,0.8311245170251947,-4.640426497279682,0.0
1,9.489737033843994,-2.133877795606336,14.876733260192587,165.96690278696926,-8.718029763654686,0.0,179.41295181304136,0.05,0.06234264373779297,1.3245835304260254,0.025564542,0.039684642,-2.2391123597076312,0.0,40000,2.133234977722168,0.9010335111805738,0.8211993828714493,-4.402897107090332,0.0
2,9.491843461990356,-1.9993757555980614,13.484543463287704,120.69559033597127,-10.848272575484447,0.0,159.85556692431112,0.05,0.06334948539733887,1.3907454013824463,0.025303433,0.045949537,-2.2151386992966744,0.0,40000,2.507294178009033,0.8937548103844506,0.8343210018062235,-3.908551658166694,0.0
3,9.601094722747803,-2.1038709564404012,11.105339700624864,66.05000472286625,-8.103557931618486,0.0,168.27374406139785,0.05,0.05885648727416992,1.3049328327178955,0.025270669,0.041836925,-2.204011925011047,0.0,40000,2.559162139892578,0.8591434532556099,0.8007143463546045,-1.9125096498860317,0.0
4,9.627420663833618,0.4807077583333655,18.469596177413543,134.71310095943312,-8.137242993553249,0.0,163.1131160566997,0.05,0.05783867835998535,1.3360390663146973,0.024310622,0.055311687,-1.9355399566766056,0.0,40000,2.535425901412964,0.8268105705773005,0.6820645295282115,-0.299147382801787,0.0
5,9.626268148422241,-0.4149738829309274,15.751716758733359,98.40669914719038,-9.94623949251641,0.0,173.86677184711286,0.05,0.07236695289611816,1.3236479759216309,0.02557611,0.03509799,-1.7834833493020377,0.0,40000,2.5396249294281006,0.7172601341640241,0.6290785347247099,2.5616746763041487,0.0
6,9.630863904953003,3.1208968907139893,39.65262057922641,363.7488225381505,-7.210700540772194,0.5,154.80441188174564,0.05,0.06234550476074219,1.3082787990570068,0.024118664,0.04849513,-1.293045325300435,0.5,40000,2.6413474082946777,0.8845870692337844,0.7724203415191921,6.102108151846949,0.0
7,9.486482381820679,1.1119977895461104,21.975156286106436,220.5592353156265,-11.900918162108995,0.0,165.76552532497365,0.05,0.05837607383728027,1.3568506240844727,0.024801562,0.05099763,-1.0525410138157805,0.0,40000,2.529916286468506,0.9179609669904646,0.7589033892157114,6.860315144325744,0.0
8,9.751101970672607,4.959261151688334,58.69195139757019,727.8317210044571,-12.743252118616056,0.5,168.85580096593617,0.05,0.059366464614868164,1.3072209358215332,0.026104236,0.056456123,-0.4513607972653691,0.5,40000,2.5349433422088623,0.9052493203426406,0.7436757562310682,4.828708381419331,0.0
9,9.737186193466187,-1.1751446329853013,11.763645896071713,77.06068863249409,-8.413986641870881,0.0,153.66190599652325,0.05,0.058481454849243164,1.3250470161437988,0.025071118,0.033585634,-0.5237391808373624,0.0,40000,2.491903781890869,2.0582424228532807,0.8369642450104945,11.054588482397286,0.0
10,9.613499402999878,9.427390091949,52.219643908540235,479.2014543929324,-7.406491189409805,1.0,202.4082532660782,0.05,0.05684924125671387,1.3521034717559814,0.02547907,0.040203117,0.4713737464412739,1.0,40000,2.4844393730163574,0.9279818070892034,0.725307048567505,12.102959676868158,0.0
11,9.520772218704224,4.5084526870736905,34.44654666389949,398.0719193738146,-9.345308928182282,0.0,176.1596281945214,0.05,0.06035923957824707,1.3751070499420166,0.02564923,0.036359396,0.8750816405045156,0.0,40000,2.4413347244262695,0.9340969421694849,0.8120999406898933,14.83862585093296,0.0
12,9.59577226638794,4.4442024536490745,26.236977665640477,232.01171092855714,-7.472166889036669,0.0,177.854671580353,0.05,0.05935096740722656,1.3219170570373535,0.024950523,0.036826294,1.2319937218189716,0.0,40000,2.469578504562378,0.7512274014918459,0.6345133421765135,21.747143952526088,0.0
13,9.60098671913147,8.886851237974309,59.405438172243166,517.486533315152,-11.070673977225967,0.5,187.49312811192954,0.05,0.05635809898376465,1.3356103897094727,0.024843737,0.03913244,1.9974794734345054,0.5,40000,2.4493637084960938,0.8462221683153486,0.6527086847229366,18.429162232849773,0.0
14,9.63623857498169,9.730867964469962,53.778610410522504,497.9839823679442,-11.966878032858512,0.5,172.28964549576222,0.05,0.07229351997375488,1.3417792320251465,0.025524981,0.038172945,2.770818322538051,0.5,40000,2.3834595680236816,0.7354465662715948,0.608600186242867,26.69368812012117,0.0
15,9.523976564407349,10.532914835811873,48.609373279470454,310.2672558180158,-12.764154997962082,0.0,156.69115624103088,0.05,0.06833863258361816,1.3367769718170166,0.025212487,0.044861507,3.5470279738654336,0.0,40000,2.4377918243408203,0.7990108230970295,0.6656487778897748,36.28551089604227,4.0
16,9.4971342086792,10.7007407820421,70.76939089473842,865.1273456425268,-11.73825688625553,1.0,158.49466251870527,0.05,0.06283259391784668,1.319932222366333,0.025276791,0.07539402,4.262399254683101,1.0,40000,2.3484315872192383,0.8590249551285015,0.6764752245346082,11.120579372057664,0.0
17,9.702202081680298,8.211519791402393,41.46449749635516,413.03696916417243,-15.994298121094618,0.0,181.70408448966828,0.05,0.05935382843017578,1.2957370281219482,0.025256814,0.03655331,4.65731130835503,0.0,40000,2.372097969055176,0.9653861922575362,0.687222922169658,25.106424201436152,0.0
18,9.618190050125122,9.159919456190682,53.2481392820445,461.1922333385315,-14.384189163404388,0.0,158.95103262030693,0.05,0.05584716796875,1.3014893531799316,0.025742892,0.05162103,5.1075721231385955,0.0,40000,2.3847246170043945,0.8451334715581569,0.6873593211384289,59.59240992075696,4.0
19,9.480480194091797,6.532671120440423,30.62833432079047,341.2530380856558,-10.098460887955264,0.5,173.924085407266,0.05,0.0593562126159668,1.2983579635620117,0.025232792,0.03653355,5.250082022868778,0.5,40000,2.4373228549957275,0.9232835201816548,0.5447373199344491,13.633312281349308,0.0
20,9.610706806182861,13.781058059304485,65.28636412150298,599.0080912551036,-14.066378839101235,0.5,179.26660098401044,0.05,0.05780625343322754,1.324723482131958,0.025295522,0.046291564,6.103179626512349,0.5,40000,2.419271945953369,0.8145883489745537,0.5698214876254886,26.445218188550548,0.0
21,9.705947160720825,28.24339865337668,138.31660283742823,1374.1986118805132,-14.090504066397475,1.5,183.3488036749063,0.05,0.057408809661865234,1.320418357849121,0.025286702,0.039252788,8.317201529198783,1.5,40000,2.4180288314819336,0.8373766710347674,0.6655078699632737,67.01283290569472,8.0
22,9.84305453300476,29.691690799732804,103.96613491736692,663.4127048513809,-12.65625807894842,2.0,170.39543914913546,0.05,0.05884122848510742,1.310389757156372,0.024758255,0.039389703,10.454650456252185,2.0,40000,2.4231181144714355,0.761807485926763,0.570322845129958,21.20244417657186,4.0
23,9.60608434677124,24.11059503657174,96.61066985218879,810.7450771139494,-13.970713058850702,2.0,176.7127571219166,0.05,0.0640261173248291,1.3207972049713135,0.025213799,0.0357969,11.820244914284142,2.0,40000,2.4299449920654297,0.752400316514338,0.576445561304148,44.9988110407703,8.0
24,9.624776124954224,21.45410661728185,66.60465790220523,559.7232376168749,-11.558888939679235,0.5,170.93504152075616,0.05,0.05635786056518555,1.3018391132354736,0.024598178,0.036277663,12.783631084583913,0.5,40000,2.397995710372925,0.8115546284176027,0.6147300367025451,37.264513970237196,4.0
25,9.725570917129517,38.42239070076548,132.0648882362291,1092.4192762649925,-12.922052271526569,2.5,183.83085942301383,0.05,0.055849313735961914,1.4259986877441406,0.025441866,0.0391857,15.34750704620207,2.5,40000,2.3844010829925537,0.7615101412950522,0.5837173856919262,39.201305649057694,4.0
26,9.817880630493164,34.5542102497823,110.91491960881235,784.4650019415175,-14.808438811804884,3.0,171.44224405979796,0.05,0.06036567687988281,1.3093276023864746,0.025020849,0.036182836,17.268177366560096,3.0,40000,2.4230124950408936,0.7427671985318651,0.5725193476209139,17.195805012402833,0.0
27,9.95313310623169,46.375482353671096,159.93824856156385,1376.8380693156191,-11.301011730590629,3.5,204.27427734372014,0.05,0.05740928649902344,1.3289039134979248,0.024847819,0.032670673,20.178907865271196,3.5,40000,2.399693727493286,0.6937765291681021,0.5681161811762816,70.23687052281706,4.0
28,9.952341079711914,40.01540897435607,141.41805858354394,1449.3236349920853,-14.581855826381268,2.5,178.36340641669543,0.05,0.07132601737976074,1.3394038677215576,0.025640298,0.03714541,22.162557976179684,2.5,40000,2.3961708545684814,0.70744102431792,0.5649217006492943,120.54379159223386,8.0
29,9.852871179580688,48.09261660258542,161.33101157581342,1677.862432645027,-13.93127198803419,3.0,171.10952965504055,0.05,0.057360172271728516,1.3313701152801514,0.024870621,0.044413213,24.755563838820258,3.0,40000,2.4530282020568848,0.658973083078164,0.5505618305616107,41.11331811102836,4.0
30,9.963818550109863,53.79635622322372,174.55305923877782,1441.3021848201129,-14.884229173658085,3.5,191.30385024432906,0.05,0.06334519386291504,1.3240106105804443,0.025693983,0.036401164,27.659643077260604,3.5,40000,2.3848330974578857,0.6815856964391855,0.5765453146159841,71.76853486978061,4.0
31,10.038759708404541,47.77102682730893,127.64893700983325,958.0676971917518,-15.026763368648535,4.0,194.10822996444463,0.05,0.0578460693359375,1.3253297805786133,0.024443356,0.033093493,29.670781452265437,4.0,40000,2.399101495742798,0.5975416322827628,0.4607119786053357,83.91138887403874,8.0
32,10.239490032196045,70.09570499029111,196.47803091933932,1372.338091314668,-15.12764367678664,5.0,197.17877870122692,0.05,0.060350894927978516,1.2934911251068115,0.025348326,0.03260259,33.713273806068,5.0,40000,2.474080801010132,0.6512377893460496,0.5154120144315878,60.84020552891341,0.0
33,10.061497211456299,63.48398614730587,185.16819450623788,1630.171308766562,-13.679754613285656,4.5,196.96171289040794,0.05,0.0593564510345459,1.3206632137298584,0.025504025,0.03210132,36.69034504019179,4.5,40000,2.4785542488098145,0.7336799291020029,0.5724182694846522,105.87295908077402,8.0
34,10.053341388702393,84.96750940762398,254.24318937843356,1585.01330118527,-13.646998214920307,7.0,188.39466456944737,0.05,0.06533527374267578,1.3483352661132812,0.025239453,0.036127754,41.518061476935,7.0,40000,2.360746383666992,0.699198578676378,0.5886247194072718,163.22040159312684,8.0
35,9.916348934173584,69.57536665729495,172.3953271053122,1315.7519823557104,-13.467706059154649,6.0,185.42875494817415,0.05,0.0574038028717041,1.3368251323699951,0.025330987,0.033252977,44.323791994971,6.0,40000,2.3547708988189697,0.7135178471840106,0.509115330055672,100.64204743043085,8.0
36,10.14012098312378,98.05056852257097,225.32029676881058,1556.4408376480144,-13.783046179197262,7.5,200.54939182139637,0.05,0.05585122108459473,1.324925184249878,0.025147298,0.032170173,49.696469647731,7.5,40000,2.354682445526123,0.6473263922541113,0.521530022886145,105.36505664069668,12.0
37,9.924623966217041,138.76724276017615,302.529950633525,1781.1805771881282,-15.060550077145116,12.5,200.6598360129614,0.05,0.06634235382080078,1.341367483139038,0.025235781,0.031991195,58.603546958975514,12.5,40000,2.4476311206817627,0.5005155022575317,0.4005069596486926,90.7892846859946,4.0
38,10.154484510421753,133.8945125979746,277.41699186628153,1408.1322517179922,-18.832827555977204,13.5,186.97283232233903,0.05,0.058415889739990234,1.3440008163452148,0.025122823,0.03362844,66.13264352287543,13.5,40000,2.386171340942383,0.5044885433028343,0.4425574571657319,70.17414241192274,0.0
39,10.1712007522583,137.5696241587719,338.17017953357157,2206.5597630257994,-13.103490346636745,9.5,190.3902797983765,0.05,0.05585074424743652,1.3492672443389893,0.025037564,0.03473313,73.27634158646507,9.5,40000,2.3551292419433594,0.6271275829478218,0.5535013028196377,85.53375711209473,8.0
40,10.507794380187988,194.71078423334595,354.96501007040024,2077.221325926024,-14.690897376729964,15.0,192.25506814915823,0.05,0.05684828758239746,1.3437433242797852,0.024801292,0.033830542,85.41978585115316,15.0,40000,2.317460298538208,0.5124076278077171,0.44009587983471116,98.3980635959187,8.0
41,10.167296171188354,182.61154384425114,307.3968619120232,1879.957190821062,-12.310802256233929,15.0,192.76463367119075,0.05,0.053863525390625,1.40462327003479,0.025075946,0.032202493,95.13896165046296,15.0,40000,2.3672802448272705,0.46643444826065544,0.4139252180015,100.70134505719078,8.0
