iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,9.533129453659058,-4.33836229125537,1.0066131145875032,-2.5910194131807422,-6.614309936450948,0.0,1.6630962384586674,0.05,0.0623936653137207,1.4428834915161133,0.024421405,0.029274844,-4.33836229125537,0.0,40000,1.3597989082336426,0.9469714103246238,0.03468026780865682,-4.1430969789409655,0.0
1,9.523271322250366,-4.219778732974519,1.022009215465077,-2.516951679103527,-7.901619872835156,0.0,1.6255812221103312,0.05,0.05637645721435547,1.4938993453979492,0.027178675,0.029512236,-4.326503935427285,0.0,40000,2.2318074703216553,0.03860377676936333,0.02748601237024072,-3.92843267358214,0.0
2,9.650439739227295,-4.0538916291198746,1.1137790008255348,-2.394234546444465,-9.921819457338081,0.0,1.374266323798831,0.05,0.04939413070678711,1.46549654006958,0.02475154,0.028288245,-4.299242704796544,0.0,40000,2.7466378211975098,0.062855645073765,0.052626789266070735,-3.8229251829313045,0.0
3,9.616849660873413,-4.0729329578250875,1.1445374537165625,-2.277537388106021,-9.902087979214368,0.0,1.4485348649952683,0.05,0.061345815658569336,1.4702305793762207,0.027517196,0.0357871,-4.276611730099399,0.0,40000,2.6784250736236572,0.04034593438865712,0.0325277525411528,-3.6390425857476076,0.0
4,9.633830547332764,-3.967768792034006,1.1486040952812853,-2.2225340829606988,-10.500850390050793,0.0,1.255060772239669,0.05,0.05186033248901367,1.506176233291626,0.02567503,0.031002115,-4.245727436292859,0.0,40000,2.6138718128204346,0.047992286876468594,0.04435245033602833,-3.555461578220883,0.0
5,9.633503675460815,-3.898955384976816,1.5473142587117987,2.8285661920608676,-13.948847341101098,0.0,1.189680201858208,0.05,0.05385541915893555,1.4818401336669922,0.025801715,0.04597938,-4.211050231161256,0.0,40000,2.5388917922973633,0.1272739909584781,0.12289379588961452,-3.5002591313114295,0.0
6,9.736512422561646,-3.798789645094181,1.466798157554404,0.5837644192193745,-12.81249490717111,0.0,1.175859177228338,0.05,0.05137753486633301,1.4735174179077148,0.023602227,0.032772344,-4.169824172554549,0.0,40000,2.546151638031006,0.11693359432788548,0.07778256498930741,-3.434633116458511,0.0
7,9.659831762313843,-3.6739802248515128,2.134937863864846,19.696496862485564,-11.870446333396414,0.0,1.398252854184005,0.05,0.05584907531738281,1.4689598083496094,0.024542367,0.055178117,-4.120239777784246,0.0,40000,2.49444317817688,0.2977855143306088,0.2827876245647613,-3.3966448450320676,0.0
8,9.512347936630249,-3.780225360862852,2.8548736185387367,28.483642268298254,-13.133903537382503,0.0,1.5133971424829489,0.05,0.05634713172912598,1.472071647644043,0.024016874,0.038879037,-4.086238336092107,0.0,40000,2.4625792503356934,0.4108487262558969,0.38207946377089197,-3.358829031288441,0.0
9,9.642106771469116,-3.704057706318176,1.5005242216387709,4.5425062665366935,-11.53857766062889,0.0,1.5818955452131749,0.05,0.05385541915893555,1.4528515338897705,0.025421206,0.03444855,-4.048020273114714,0.0,40000,2.499056577682495,0.1241622947821849,0.11278883547892322,-3.214242749021246,0.0
