iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,10.643978357315063,-2.2508050890522195,10.300962361497298,69.28190220554359,-8.376758074654882,0.0,170.92082531714124,0.05,0.07268333435058594,1.4270927906036377,0.024602247,0.041477654,-2.2508050890522195,0.0,40000,1.3037073612213135,0.9992325575563978,0.7612119419770422,-4.640426497279682,0.0
1,9.890984296798706,-2.133877795606336,14.876733260192587,165.96690278696926,-8.718029763654686,0.0,180.23897473615946,0.05,0.06630849838256836,1.4034638404846191,0.025407368,0.03937864,-2.2391123597076312,0.0,40000,2.1907684803009033,0.8608024366533129,0.7022218003250683,-4.341815704309185,0.0
2,9.776226282119751,-3.0829077433720897,8.876567408967162,88.37208289104643,-8.59561765100071,0.0,179.0727884798545,0.05,0.07243227958679199,1.3848543167114258,0.025531411,0.03666058,-2.323491898074077,0.0,40000,2.501821517944336,1.0790642730548015,0.605175316291542,-2.529296316591304,0.0
3,9.75406527519226,-0.7763815934223298,14.991096585690364,77.39893888477346,-7.610075568278536,0.0,187.40204746334146,0.05,0.06557345390319824,1.4032409191131592,0.025257798,0.038370844,-2.1687808676089024,0.0,40000,2.4786388874053955,0.7560237700260551,0.5683866939638469,-2.3067121440991536,0.0
4,9.774972200393677,-1.3450638112433462,12.9726460635727,76.05020491248501,-9.052632861920141,0.0,173.64621357234793,0.05,0.06160759925842285,1.3984761238098145,0.025284482,0.03537135,-2.086409161972347,0.0,40000,2.530813217163086,0.7302199636484997,0.534921886951546,2.1668268570137825,0.0
5,9.787034511566162,4.540254054842298,59.54988993880811,771.0366318057607,-7.167277435785092,0.5,203.3239921234342,0.05,0.07368350028991699,1.3972723484039307,0.025345996,0.054566156,-1.4237428402908823,0.5,40000,2.4569969177246094,0.9280141999685475,0.5810276353024088,1.4913148305659945,0.0
6,9.74257755279541,4.320879501847503,35.71510690197991,302.36712157739225,-8.12377227259348,0.0,175.51836427428745,0.05,0.06656265258789062,1.401341199874878,0.024849836,0.0337289,-0.8492806060770437,0.0,40000,2.443537473678589,2.068711170078664,0.7470141221328439,2.194528379015645,0.0
7,9.75087022781372,4.524544430590263,50.49182726695282,609.1229843560037,-11.722336345652549,0.5,166.89779103326168,0.05,0.06263208389282227,1.39426851272583,0.025375016,0.056834545,-0.3118981024103131,0.5,40000,2.3964264392852783,0.8909564612328927,0.7324644717242589,0.48704783800977547,0.0
8,10.198479890823364,4.175946817109467,38.507791830669284,409.8492848926497,-9.716799686621467,0.5,173.13072001807876,0.05,0.05661773681640625,1.3956329822540283,0.025981879,0.038603265,0.13688638954166488,0.5,40000,2.427706480026245,0.999433859968487,0.5439194016754099,5.631285228500384,0.0
9,9.72716498374939,-0.5174783618784127,22.557533488854457,258.60712937041023,-8.56582318182777,0.0,163.7400415511371,0.05,0.06573009490966797,1.408174753189087,0.025575131,0.038064882,0.07144991439965712,0.0,40000,2.393671989440918,1.287408300534727,0.732607385984199,-1.0492784051317492,0.0
10,9.88027024269104,7.057586397360995,103.83758340143847,1452.5780906620735,-8.672353564969917,0.5,168.1963181052406,0.05,0.060556650161743164,1.3857417106628418,0.026086774,0.0641395,0.7700635626957909,0.5,40000,2.312460422515869,0.9378110967026605,0.39595860701437186,7.294931343326899,0.0
