iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,13.633639335632324,134.9024494538475,299.11458320492596,2485.586496862757,-10.656770952514538,8.0,196.91023822375743,0.05,0.05601859092712402,1.3936500549316406,0.026057135,0.034389853,134.9024494538475,8.0,40000,2.43679141998291,0.9479533395788005,0.6192610245893364,52.888033223630174,0.0
1,14.423655033111572,119.32958244077363,220.2078409749217,1450.1271868401636,-12.656193703637175,6.5,187.31554505007793,0.05,0.06020307540893555,1.402937412261963,0.024946675,0.034047946,133.34516275254012,6.5,40000,2.45237135887146,0.6276602907758172,0.5097772111289406,71.99481376479507,4.0
2,13.910533666610718,115.2662983064198,161.71243088648092,959.1233115196579,-11.791797912124277,7.0,179.917653738952,0.05,0.061593055725097656,1.3790197372436523,0.025379702,0.03526917,131.5372763079281,7.0,40000,2.482992172241211,0.6212201539440183,0.473063210886381,87.50561452585158,0.0
3,13.771292686462402,99.21641942344584,135.8461506009156,836.4865089047111,-9.200310174708514,4.0,180.66249501833374,0.05,0.06253504753112793,1.3845527172088623,0.024941595,0.034439147,128.30519061947987,4.0,40000,2.5001778602600098,0.5542977618862762,0.4446660232802172,114.55569329100781,8.0
4,15.049691438674927,143.33126968308312,195.62861317802597,974.5428583544234,-12.295026766632894,11.0,187.8295912956917,0.05,0.0656890869140625,1.4916753768920898,0.025254041,0.0350829,129.8077985258402,11.0,40000,2.6226999759674072,0.49986958505334755,0.39405786421956435,87.83353267146654,4.0
5,14.581883907318115,138.36419159895593,232.05564377950256,1474.2472709560116,-7.589449278035495,9.0,187.00345545450074,0.05,0.06652379035949707,1.441063404083252,0.025177356,0.034853067,130.6634378331518,9.0,40000,2.5718648433685303,0.5611730108933863,0.4670982461736403,137.8405003639622,8.0
6,14.978991031646729,179.70230361684298,325.1885854872421,2405.617123212916,-9.710507555114763,12.0,178.87187320973433,0.05,0.06604838371276855,1.448887825012207,0.024926312,0.036674365,135.5673244115209,12.0,40000,2.5982327461242676,0.575396815707042,0.4664590097634863,158.8309448205042,8.0
7,14.953826904296875,151.0440359210406,192.7602676810829,1011.451917704153,-9.56032670096425,11.0,175.44113258644995,0.05,0.06415820121765137,1.4715549945831299,0.024843393,0.035552472,137.11499556247287,11.0,40000,2.63991117477417,0.5448322259212757,0.411259353895762,172.77510702278806,8.0
8,15.614667892456055,177.73429651921305,248.7841678092967,1792.5587754011024,-9.36691464228156,12.0,168.24206894326792,0.05,0.06246042251586914,1.438544511795044,0.024859203,0.07200757,141.1769256581469,12.0,40000,2.6353869438171387,0.5506110999756153,0.4710612638808297,270.0758150902165,8.0
9,15.187858819961548,212.66134231313237,295.5240571931023,2443.3939465476897,-7.599728708106213,16.5,188.02014179343627,0.05,0.07033467292785645,1.4843521118164062,0.025067056,0.034591958,148.32536732364545,16.5,40000,2.6374330520629883,0.5471148947924647,0.44839945517258883,193.61361431325366,16.0
10,15.27457880973816,211.11872288271465,263.4519888924214,1467.1636400170491,-10.192603014941335,18.0,178.24127894561366,0.05,0.07458853721618652,1.4265806674957275,0.02506167,0.036314387,154.60470287955238,18.0,40000,2.616595506668091,0.4547165085373662,0.3746335377105649,262.66744420118613,20.0
11,15.702534198760986,246.3141335753183,328.58719460064856,1846.4938228747508,-7.887004422063858,18.5,192.6144867926309,0.05,0.06702852249145508,1.4374597072601318,0.025387356,0.03340359,163.77564594912897,18.5,40000,2.559861898422241,0.4566246475771473,0.3681614724991975,382.2460699387671,28.0
12,15.498524188995361,243.06444414210398,277.4699064446236,1579.7860626788877,-9.763970212601127,19.5,187.02078797531848,0.05,0.0674891471862793,1.4245281219482422,0.025036527,0.034160584,171.7045257684265,19.5,40000,2.55700945854187,0.49822684901366987,0.36299944533815165,363.30872146702296,24.0
13,15.07239055633545,311.92507858676635,412.5746535405797,1928.181662105316,-8.293540304030202,24.5,183.5350511232673,0.05,0.07035994529724121,1.425283432006836,0.024871686,0.035961594,185.72658105026048,24.5,40000,2.6268863677978516,0.5039940903715686,0.38345367864499197,433.5696072787144,40.0
14,15.185227632522583,363.37305352656375,421.28323353484706,1828.7046077049042,-8.642119052696025,34.5,183.11461707479035,0.05,0.06871294975280762,1.4251198768615723,0.025345126,0.03396401,203.4912282978908,34.5,40000,2.6030962467193604,0.41545933299895027,0.3369681011012449,514.5179174753,28.0
15,14.815896034240723,340.9438566111588,374.1976285432373,1650.8939820575686,-9.243574885935933,32.5,184.28824769889465,0.05,0.05802559852600098,1.3849382400512695,0.025074316,0.034033336,217.23649112921763,32.5,40000,2.570972442626953,0.4042288810419321,0.3330287313843513,451.2461346399624,40.0
16,14.822152614593506,380.9251877882927,405.0943657702274,1768.7547634608547,-6.510813885178829,36.5,181.6830679342586,0.05,0.05857348442077637,1.3858637809753418,0.02506859,0.035227,233.60536079512514,36.5,40000,2.549750804901123,0.4350552254401148,0.35352725123485457,518.3096056093401,40.0
17,14.631848573684692,372.9306350560975,473.5920049843039,2490.403821430736,-5.212714943625783,33.0,181.5869566723016,0.05,0.05809330940246582,1.3810219764709473,0.025379134,0.034770943,247.53788822122237,33.0,40000,2.553981065750122,0.4597665408527151,0.35750586115787214,460.07357933165446,44.0
18,14.84878134727478,443.3802056076027,472.57425972160115,3014.3022895765403,-8.062233332797906,44.5,189.16927983330302,0.05,0.06250834465026855,1.413848638534546,0.024944607,0.033285685,267.1221199598604,44.5,40000,2.635733127593994,0.3768939569823232,0.3037834492210681,480.028472293564,48.0
19,14.74369740486145,441.0160015565518,465.36221612523974,2326.1010099569876,-6.920395114230278,45.5,189.19598272331118,0.05,0.05820512771606445,1.3941318988800049,0.025136828,0.033372764,284.5115081195296,45.5,40000,2.547661542892456,0.40673287885911297,0.32319265126035224,638.6223863823199,52.0
20,14.659658193588257,537.8376702100562,502.18854043564784,2605.364368139278,-4.97307093606022,51.0,185.3991161488969,0.05,0.06294751167297363,1.3797557353973389,0.0253403,0.03412643,309.84412432858227,51.0,40000,2.55635666847229,0.3124049937361253,0.2546641000108835,688.8560165387363,64.0
21,14.724191188812256,595.045920485694,556.8060378763267,2653.4991222546855,-6.010298110051339,59.0,190.69735766932982,0.05,0.059365034103393555,1.4001128673553467,0.025174111,0.03300479,338.36430394429345,59.0,40000,2.5465681552886963,0.3334767720428333,0.2589918795970963,792.1309493254689,80.0
22,14.406234979629517,657.6060006831053,580.6012220904379,2532.158122000478,-7.618513680719819,62.5,178.90161457205468,0.05,0.060060739517211914,1.375138759613037,0.024951788,0.03467259,370.28847361817463,62.5,40000,2.5510427951812744,0.2764800206518363,0.2297457828101962,785.1197458061339,68.0
23,14.508487462997437,679.1941179887822,614.8119252277139,2408.7530029494337,-5.264141885787705,58.5,188.00429772001877,0.05,0.06507062911987305,1.4097120761871338,0.025094643,0.033295717,401.1790380552354,58.5,40000,2.574547529220581,0.31489556669443286,0.2513360732699317,1064.8723585253842,76.0
24,14.292575597763062,798.965410491066,680.4799555825861,3285.0435885881093,-5.122955695929239,66.5,184.9510683216864,0.05,0.06557703018188477,1.3883371353149414,0.024854917,0.033460204,440.95767529881846,66.5,40000,2.505607843399048,0.2901522860312297,0.23021295469841271,1078.6634498452459,92.0
