iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,13.050922393798828,13.205583952406396,44.561244884571934,312.7383479839056,-18.159347658232463,0.0,159.85086738980988,0.05,0.06283187866210938,1.3864052295684814,0.025360592,0.044038955,13.205583952406396,0.0,40000,2.3888258934020996,1.5177092232932057,0.554330159151821,14.468615421263468,0.0
1,12.949329376220703,9.433595475492147,34.47145328103536,225.687734763305,-18.426126031646834,0.0,159.92801631941057,0.05,0.06981301307678223,1.3691418170928955,0.024369499,0.04185009,12.828385104714972,0.0,40000,2.4377806186676025,0.6145636188967136,0.4295453609469421,6.850564658470125,0.0
2,13.404030323028564,17.28713669392559,52.90208638826025,426.31268451721877,-14.09546224907507,0.5,168.59182014311645,0.05,0.05835080146789551,1.3819148540496826,0.025142945,0.043216113,13.274260263636034,0.5,40000,2.386385440826416,0.7295296696285026,0.4850142948405569,12.407431234455725,0.0
3,13.282793998718262,21.68825978851718,52.05067721524174,366.34521782633124,-13.283754600629202,0.0,169.8095445405541,0.05,0.060837507247924805,1.3858880996704102,0.025070855,0.03698005,14.115660216124148,0.0,40000,2.372856616973877,0.5192228471757525,0.39229102621341394,18.141178522397105,0.0
4,13.148160457611084,20.754718725755982,52.54411546684096,352.6805052281132,-14.850128862393127,0.0,153.37163942498572,0.05,0.0603489875793457,1.381894826889038,0.025243038,0.05028438,14.779566067087332,0.0,40000,2.3590126037597656,0.5422189843822666,0.4002416224854772,20.277909873303308,0.0
5,13.364506483078003,23.547827324053415,57.43994470339752,486.5110988942658,-15.965726068040455,0.5,162.7056110669637,0.05,0.05684804916381836,1.3687496185302734,0.024928348,0.041240595,15.65639219278394,0.5,40000,2.399156332015991,0.6120136394136418,0.4068338547998246,15.337439693054291,0.0
6,13.604241847991943,34.67598161063572,72.15851781884479,625.5832604930448,-13.683511571264283,1.0,155.37438299824512,0.05,0.0573573112487793,1.3726425170898438,0.025171705,0.04098233,17.55835113456912,1.0,40000,2.427483320236206,0.6292773319960477,0.43512202829486185,32.08986883263069,0.0
7,13.382363557815552,30.16307258393483,73.34916196614547,758.2174220716515,-15.706237420506303,1.0,142.41478627386712,0.05,0.059023141860961914,1.3770601749420166,0.024453573,0.058453623,18.81882327950569,1.0,40000,2.4157679080963135,0.5908564869547274,0.4303378818650965,41.30654336637212,0.0
8,13.628324508666992,35.82744232694061,61.636113946617854,452.4433933153082,-10.554580937779102,0.0,156.01481138906465,0.05,0.06135439872741699,1.3776814937591553,0.024918286,0.038999915,20.519685184249184,0.0,40000,2.4600632190704346,0.6213615638106186,0.33939195815626017,39.238430881368934,0.0
9,14.076593399047852,52.83832158409437,83.47427583926287,429.0082061618216,-13.051535077984326,1.0,168.13386740765645,0.05,0.059352874755859375,1.3801100254058838,0.025176367,0.039472327,23.751548824233705,1.0,40000,2.4578893184661865,0.5503517205223586,0.3874019849502306,57.6565977562044,0.0
