iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,10.48983883857727,22.81054166862392,41.77732404051612,267.38027771071523,-11.140607717015993,0.0,178.05091708245638,0.05,0.06009054183959961,1.4133694171905518,0.02528224,0.03747069,22.81054166862392,0.0,40000,2.164698362350464,1.4827932684859586,0.42552435901124724,54.78320025399503,4.0
1,10.42751169204712,27.11652330601417,50.564550035542815,340.42977045741367,-12.056465672009079,0.0,168.40952295079796,0.05,0.06514978408813477,1.415407419204712,0.025342062,0.044290982,23.241139832362947,0.0,40000,2.167750358581543,0.5681435349261889,0.4205637811453792,66.4128150783253,4.0
2,10.62290358543396,32.30485399304913,46.93632361962032,265.47768367639475,-9.538252238142592,0.0,177.04761032737431,0.05,0.06477165222167969,1.4111411571502686,0.024988757,0.034574427,24.147511248431567,0.0,40000,2.081120252609253,0.47835643621414164,0.3541865646786733,92.40402852218602,4.0
3,10.520517826080322,36.647593200558944,70.63958511913198,428.23921457698174,-16.50065351703696,0.5,174.2941786713005,0.05,0.06866836547851562,1.4104161262512207,0.025262086,0.05257885,25.397519443644306,0.5,40000,2.1387929916381836,0.6607698443972434,0.43363710630772623,37.61153140789267,0.0
4,10.653874635696411,41.28774787925239,62.58525004611118,442.6852918492105,-11.056558537251183,0.0,168.644050495427,0.05,0.06755232810974121,1.418729543685913,0.025453076,0.037644405,26.98654228720512,0.0,40000,2.134490728378296,0.5154160735554632,0.3294682967873539,44.904782696811765,0.0
5,10.819624185562134,36.8330798509965,59.44923879680352,401.84980475074315,-12.848183675330546,0.0,169.94489308293578,0.05,0.06372404098510742,1.4232814311981201,0.024958817,0.035671227,27.971196043584257,0.0,40000,2.1366965770721436,0.6543743825464446,0.41134590524439824,55.45266133565224,0.0
6,10.87582778930664,44.177003100270966,64.672789169543,400.48704848812673,-10.249712455371156,0.0,173.02072994514603,0.05,0.06604528427124023,1.404000997543335,0.02535181,0.038794,29.59177674925293,0.0,40000,2.1134836673736572,0.558942954835039,0.443605388741636,60.60760546027427,0.0
7,10.738842964172363,56.3098300184192,93.90962922004061,660.390142506806,-11.157052208711221,2.0,187.43857159945577,0.05,0.06853842735290527,1.4005067348480225,0.025017902,0.035993773,32.263582076169556,2.0,40000,2.1756253242492676,0.6420687301707935,0.4679067195593695,86.65480884065353,4.0
8,10.834052085876465,45.87610850659437,72.55825705592612,587.1683890928225,-18.027574234684437,1.0,175.4218835485304,0.05,0.06832385063171387,1.4184703826904297,0.025126817,0.035538524,33.62483471921204,1.0,40000,2.1594808101654053,0.6861350414336096,0.3124219186446375,71.30442650418473,0.0
9,10.956175804138184,63.046076131020634,134.61162913213724,1475.8408194804535,-15.452531494139556,1.5,177.34375893015405,0.05,0.06411170959472656,1.4134330749511719,0.026589734,0.052852776,36.5669588603929,1.5,40000,2.172675848007202,0.7377725311721017,0.4524051829942325,100.346770252689,4.0
