iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,13.327454328536987,-2.2508050890522195,10.300962361497298,69.28190220554359,-8.376758074654882,0.0,136.91834699940733,0.05,0.0665593147277832,1.4128563404083252,0.024600413,0.04147144,-2.2508050890522195,0.0,40000,1.4834306240081787,0.9989750539859366,0.7520898602100556,-4.640771858298826,0.0
1,13.529734134674072,-2.360608466524508,14.32681210629733,168.25578405283542,-8.710701519108614,0.0,147.60721728411232,0.05,0.06705713272094727,1.4187757968902588,0.025252374,0.037266273,-2.261785426799449,0.0,40000,2.4525258541107178,0.8799792637378562,0.7417081884978531,-4.399268407057866,0.0
2,12.99728012084961,-2.485152751750961,10.923755529332178,74.78018838959993,-10.709289986580039,0.0,144.5797036362389,0.05,0.06163454055786133,1.4042422771453857,0.025128307,0.034990918,-2.2841221592945997,0.0,40000,2.81752872467041,0.9660791791807809,0.6541271107896729,-3.8679890198560485,0.0
3,13.312312602996826,-2.1752417974745275,12.067732856049561,73.70821107031027,-9.28348178424635,0.0,136.27140382055603,0.05,0.062188148498535156,1.426727294921875,0.025015118,0.041207526,-2.2732341231125925,0.0,40000,2.8068413734436035,0.7031093619556189,0.6089241479257275,-2.18369838645084,0.0
4,13.347612142562866,0.19913561212009512,34.871499447838616,474.07602265790354,-12.334472354936631,0.0,124.93122668188022,0.05,0.05869626998901367,1.434225082397461,0.027618624,0.088060245,-2.025997149589324,0.0,40000,2.72341251373291,0.9380734562299333,0.7583211276338254,0.03471836478485372,0.0
5,13.060137510299683,-0.43057087025341156,17.0525635104375,119.91614799113248,-7.549631766532601,0.0,116.46972469707069,0.05,0.0665597915649414,1.414989948272705,0.024962317,0.036491625,-1.8664545216557327,0.0,40000,2.6990344524383545,0.9472777287181992,0.6579332174471492,1.4147725037022614,0.0
6,13.103718519210815,-0.04496797328230528,22.157633961431532,198.39991863566593,-7.508719135800174,0.0,114.03132069910433,0.05,0.05962085723876953,1.4355506896972656,0.024986127,0.051774617,-1.6843058668183901,0.0,40000,2.7559452056884766,0.8399286783544911,0.6768221924748817,3.8529238904892713,0.0
7,13.204323053359985,1.2992004758478797,35.07248239242143,427.7411880256101,-8.393879088396956,0.0,134.89727960308576,0.05,0.05960702896118164,1.4242711067199707,0.025397481,0.04511763,-1.3859552325517632,0.0,40000,2.6124649047851562,0.7281504854018893,0.4766580458457816,1.1030256771477296,0.0
8,13.413697957992554,-1.8774320576468428,13.58712504018746,152.59082522525307,-9.230933984206564,0.0,129.16343252612137,0.05,0.07469582557678223,1.4042644500732422,0.025598789,0.03853149,-1.4351029150612713,0.0,40000,2.5456948280334473,1.8355610598294676,0.7286764527471723,2.282958018179451,0.0
9,13.427531242370605,-2.149386263245496,9.110881708056823,51.18528256736591,-10.930958097454905,0.0,140.74322638599867,0.05,0.0647740364074707,1.4283902645111084,0.025077209,0.03531091,-1.506531249879694,0.0,40000,2.6104230880737305,1.0856937206747135,0.8207253207986573,0.5584706754743238,0.0
10,13.321946382522583,-0.6325364522798931,15.338144011132659,140.71892436078997,-8.078352768381542,0.0,137.20885200012316,0.05,0.05977749824523926,1.4121818542480469,0.025476223,0.04058378,-1.4191317701197137,0.0,40000,2.64042592048645,0.8585954349863542,0.6633267011533135,0.5670737786110286,0.0
