iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,3.389254331588745,-184.72651134259405,89.90276695047916,4.997614454104716,-272.73045470001387,0.0,41.187722600996935,0.05,0.023935794830322266,0.07930326461791992,0.025670165,0.11070818,-184.72651134259405,0.0,2000,0.0811319351196289,0.9986913500456535,0.8989244764283938,-235.24040358675222,0.0
1,3.41168475151062,-234.04462283971944,30.22774107938055,-182.88363923186606,-265.6148876202195,0.0,45.1853740535958,0.05,0.02245640754699707,0.07679557800292969,0.026085421,0.09724966,-189.6583224923066,0.0,2000,0.06582379341125488,0.8890904378814165,0.33826165898514154,-235.9799722565526,0.0
2,3.630157709121704,-249.37451932999633,10.426256757075155,-228.77549474631815,-268.1088320405145,0.0,46.58939523503067,0.05,0.023936986923217773,0.07032346725463867,0.025858305,0.11456929,-195.6299421760756,0.0,2000,0.06733322143554688,0.34661575471449,0.24453384235649042,-235.62750439804933,0.0
3,3.60971736907959,-242.27398484303467,33.05574120497283,-148.07245389661372,-268.94840049253145,0.0,48.328306312391,0.05,0.021940946578979492,0.0673379898071289,0.025380779,0.090867415,-200.2943464427715,0.0,2000,0.07032394409179688,0.25201913630446965,0.22988919291211318,-237.10094758481395,0.0
4,4.039897680282593,-244.96760281564167,20.258044736954364,-197.89606221281235,-265.8486815772738,0.0,53.150727414688774,0.05,0.024933338165283203,0.08428215980529785,0.0255786,0.08717628,-204.76167208005853,0.0,2000,0.08328652381896973,0.2403705179552484,0.21365870458044034,-236.89929173668497,0.0
5,4.497894525527954,-228.38928239354323,37.082004966527926,-122.45606330706055,-255.9457822903228,0.0,49.394534354792526,0.05,0.024930238723754883,0.08628058433532715,0.02581267,0.10238394,-207.124433111407,0.0,2000,0.0962517261505127,0.24559351003933053,0.21524760241853036,-237.08340494483443,0.0
6,4.376795530319214,-244.839570282256,29.322189121512963,-161.65619322557941,-266.68758194590146,0.0,49.08673143500119,0.05,0.025930404663085938,0.09127044677734375,0.0260737,0.10024439,-210.8959468284919,0.0,2000,0.08728170394897461,0.2140603558246161,0.17604593047049213,-236.75072397088144,0.0
7,4.504432678222656,-208.50483214238375,34.869409900827776,-155.78143155224444,-264.31626824166096,0.0,45.08447021213432,0.05,0.025931358337402344,0.09027314186096191,0.025944147,0.11270424,-210.6568353598811,0.0,2000,0.09027361869812012,0.3274040722514435,0.22437472328699573,-236.87341305131034,0.0
8,4.283168315887451,-210.1624572699706,42.919053626177444,-141.94729028339108,-257.6012824151845,0.0,46.591889749092495,0.05,0.025930404663085938,0.0922694206237793,0.025347495,0.105465345,-210.60739755089003,0.0,2000,0.0982515811920166,0.1891786589538477,0.1554778542991885,-234.9741009139911,0.0
9,4.488390922546387,-205.59210437534745,47.94330517445766,-119.43295309400746,-249.933931825401,0.0,47.91545411555472,0.05,0.024454832077026367,0.08927512168884277,0.025750764,0.10352606,-210.10586823333577,0.0,2000,0.09625840187072754,0.13379693877467802,0.11276372205466309,-236.8904953674671,0.0
10,4.378385066986084,-175.59488544323074,52.73925538818401,-108.08598535046676,-248.55022539446995,0.0,48.19452188947656,0.05,0.024932861328125,0.08728313446044922,0.025568193,0.10107541,-206.65476995432527,0.0,2000,0.09426355361938477,0.24406690964809344,0.17472009335344146,-189.561771216828,0.0
11,4.592207670211792,-206.8639428730625,60.32500001044815,-82.31104023048688,-278.8510644234388,0.0,49.021165529691764,0.05,0.02593088150024414,0.09326601028442383,0.025164789,0.100459635,-206.675687246199,0.0,2000,0.09152841567993164,0.19920833659148834,0.15725285339750245,-180.52698246334435,0.0
12,4.35942006111145,-203.3203048762818,60.36701700991095,-61.445454284593936,-269.4367782669191,0.0,49.17468657715039,0.05,0.024932861328125,0.08890748023986816,0.02511489,0.096422985,-206.3401490092073,0.0,2000,0.09027338027954102,0.15049225965884144,0.12809590865807893,-145.4967622603615,0.0
13,4.599981307983398,-173.9547871197131,100.21089044186482,21.036225111299267,-268.3842263816241,0.0,43.9308192597765,0.05,0.02593088150024414,0.09126734733581543,0.024886852,0.11262013,-203.10161282025788,0.0,2000,0.09326004981994629,0.3066794519757352,0.263915773922429,-139.21892832581628,0.0
14,4.269282579421997,-127.16878026546355,116.17857392155872,83.602374643789,-263.9357416348613,0.0,44.87414580617552,0.05,0.021978378295898438,0.07029032707214355,0.025573425,0.10314072,-195.50832956477848,0.0,2000,0.0743246078491211,0.494554860246027,0.42575200154297943,-155.09838699009953,0.0
15,4.478442430496216,-116.59864500789195,132.47745821556762,74.98488267126638,-260.99684047947073,0.0,47.02427488470859,0.05,0.025444984436035156,0.18520760536193848,0.025447322,0.10458657,-187.6173611090898,0.0,2000,0.08677053451538086,0.584291179879323,0.561425198959581,-26.525985029474576,0.0
16,4.27074670791626,-43.703707259400005,109.00487010600533,82.09159747257802,-252.76315542820367,0.0,47.5500575733622,0.05,0.021938562393188477,0.08033418655395508,0.024585241,0.10303392,-173.22599572412085,0.0,2000,0.07930326461791992,0.9295496079612436,0.696340640471921,75.84608368086172,0.0
17,4.373650312423706,-43.64776933606517,85.43925218632381,76.06677709281017,-194.02094551989066,0.0,46.757249656172625,0.05,0.023128271102905273,0.07231974601745605,0.024935573,0.09928381,-160.26817308531528,0.0,2000,0.06383085250854492,0.8985001451312036,0.8159195569116311,83.4325792370856,0.0
18,4.808725357055664,-0.778164731593462,79.02212787284714,80.01819312723956,-149.12810896722297,0.0,46.31171230932136,0.05,0.024932861328125,0.07930541038513184,0.02539058,0.09966684,-144.3191722499431,0.0,2000,0.08626604080200195,0.9026654306240294,0.7675418266842604,84.09032004447955,0.0
19,4.375889778137207,8.730328679767315,67.99426913027295,98.9184991190804,-141.3145455471599,0.0,46.745582457490556,0.05,0.025931119918823242,0.08528852462768555,0.024904085,0.10466277,-129.0142221569721,0.0,2000,0.0872812271118164,0.6527119774753382,0.5938499919380315,91.73107843390534,0.0
20,4.486405849456787,27.039597345509453,84.54377318331693,88.7636644132652,-189.46109461529247,0.0,44.15237897478589,0.05,0.026927709579467773,0.08627986907958984,0.02482348,0.10022545,-113.40884020672394,0.0,2000,0.10080432891845703,0.5916232450317301,0.5730220655654049,91.596827756841,0.0
21,4.364274501800537,3.8230508601684052,67.50100833615376,90.53353039907616,-112.84622940912254,0.0,45.96227621740131,0.05,0.026032209396362305,0.08429074287414551,0.025520721,0.0989238,-101.6856511000347,0.0,2000,0.08577322959899902,0.6969634510933073,0.6590312712353683,90.4300495225232,0.0
