iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,9.889079332351685,-6.573378712862317,6.145110622430416,17.290601802095953,-36.58021636496516,0.0,1.2536546421551227,0.05,0.08170413970947266,1.2926061153411865,0.025640745,0.03861316,-6.573378712862317,0.0,40000,1.4215922355651855,0.9818042727449229,0.4289642457409606,-3.6393314867775697,0.0
1,9.850413084030151,-7.3607700213132965,10.178154409398031,56.313959031463135,-75.37291067273705,0.0,1.5751342972701847,0.05,0.04938197135925293,1.3211100101470947,0.023015808,0.025175013,-6.652117843707415,0.0,40000,2.0966956615448,0.5931465916581905,0.3384961259058241,-3.570634473635528,0.0
2,9.11868667602539,-7.177127105246646,7.193820336656675,14.047416575700595,-60.579918072485775,0.0,1.8333306285888484,0.05,0.05285954475402832,1.2966315746307373,0.024597107,0.027448697,-6.704618769861338,0.0,40000,2.576503276824951,0.3131420168612869,0.21718093414584488,-3.8082157274644737,0.0
3,9.125480651855469,-7.525364362579046,10.676669870925043,12.40697264295081,-100.76471569443363,0.0,1.7105437270167863,0.05,0.04849433898925781,1.267223834991455,0.026030691,0.025587227,-6.786693329133109,0.0,40000,2.583509683609009,0.36248822737306563,0.25964158019479733,-4.128219498127268,0.0
4,9.125427007675171,-7.580522884296024,10.095558625805353,16.519230281512517,-101.48161939649364,0.0,2.236825376096909,0.05,0.05138564109802246,1.2813634872436523,0.024501132,0.023001816,-6.866076284649401,0.0,40000,2.5185506343841553,0.24199706725824618,0.18542276382603942,-3.9361509905963405,0.0
5,9.00153923034668,-6.810083750803208,8.104272757894961,20.356622330160718,-46.7912051976004,0.0,2.5147508006231063,0.05,0.047868967056274414,1.2921972274780273,0.025949692,0.019806951,-6.860477031264781,0.0,40000,2.4718916416168213,0.2796635687779563,0.2386896391199825,-3.601551234005196,0.0
6,9.125587463378906,-7.036449274776583,9.831972602019569,18.75223368964262,-82.87998160693556,0.0,2.080557505634011,0.05,0.05045795440673828,1.2954621315002441,0.023513561,0.021199172,-6.878074255615962,0.0,40000,2.457524538040161,0.3027730554045556,0.21357164262542988,-3.5852786257291696,0.0
7,9.117916345596313,-7.449839080491305,9.111321692240733,15.936783750016057,-55.820884398686424,0.0,2.4485538474877773,0.05,0.049869537353515625,1.26645827293396,0.024927154,0.02138927,-6.9352507381034965,0.0,40000,2.4696462154388428,0.2553152978494865,0.20991257164035404,-3.670327833501814,0.0
8,9.34746503829956,-7.675437506794217,13.004910160181613,39.61450430773114,-87.17953845169406,0.0,2.4173486162005013,0.05,0.04986882209777832,1.2777292728424072,0.025932742,0.019275032,-7.009269414972569,0.0,40000,2.4567694664001465,0.2734912645392727,0.2220895328230497,-3.7120965314035077,0.0
9,9.150134325027466,-6.147876661183965,8.608570174433869,19.917930799331042,-52.17285313764296,0.0,2.123502260108886,0.05,0.05086374282836914,1.2835206985473633,0.025877155,0.022567203,-6.923130139593709,0.0,40000,2.4294333457946777,0.43331439397238797,0.2575020086321077,-3.618821665472484,0.0
10,9.237770557403564,-7.169718378469758,10.54483493936401,22.131638559085548,-74.06963035608237,0.0,2.0487541763839414,0.05,0.04990267753601074,1.2887146472930908,0.024629882,0.02209867,-6.9477889634813135,0.0,40000,2.4612526893615723,0.33087746389537326,0.2522760078628647,-3.8961835369246147,0.0
11,9.016275882720947,-6.619574577861285,10.337185969679947,23.817176515464404,-53.853274800276985,0.0,2.392468878464008,0.05,0.0518648624420166,1.284348726272583,0.026363123,0.021272592,-6.9149675249193105,0.0,40000,2.4588277339935303,0.2915358535922438,0.24414821695578295,-3.413792742778247,0.0
12,9.223466873168945,-6.357369651302019,8.286554913666171,20.567089534309744,-60.59329436930181,0.0,2.4445373750200448,0.05,0.04462003707885742,1.2841839790344238,0.025625458,0.019323388,-6.859207737557582,0.0,40000,2.3791213035583496,0.2892557103303152,0.22590996739632477,-3.905187853179086,0.0
13,9.132490158081055,-6.095764676361593,9.71720600616428,58.99721814484493,-39.575278378335824,0.0,2.394962565339658,0.05,0.04938626289367676,1.2684285640716553,0.024454806,0.02263748,-6.782863431437983,0.0,40000,2.3240578174591064,0.3924822900996983,0.32246638208303796,-4.063019143716767,0.0
14,9.232513904571533,-6.001238886800922,12.15141293677239,73.87610529506362,-66.27904305196718,0.0,2.537442624904671,0.05,0.049866437911987305,1.2970445156097412,0.026598928,0.021457035,-6.704700976974277,0.0,40000,2.3437650203704834,0.38064401622266214,0.3283196244166573,-3.6773478545875364,0.0
15,9.10678219795227,-6.438136291178248,9.19662149867318,13.461909035037861,-56.9517363271218,0.0,2.3613883432683425,0.05,0.04738163948059082,1.288707971572876,0.025747577,0.021186369,-6.678044508394675,0.0,40000,2.3904387950897217,0.23048754910208802,0.16729807903389812,-3.7760240511434233,0.0
16,9.262444496154785,-6.921923033682646,12.429671153440655,22.550098140882035,-100.90263442450721,0.0,2.3427494049938327,0.05,0.051384925842285156,1.2873926162719727,0.025958141,0.020921072,-6.702432360923472,0.0,40000,2.422689914703369,0.32750929360587,0.2579229491602512,-3.901287212491634,0.0
17,9.169333696365356,-5.955986345155842,9.398774465615302,28.09970428321614,-43.74219793524603,0.0,2.708177510399817,0.05,0.04587507247924805,1.286865234375,0.024632558,0.018305693,-6.62778775934671,0.0,40000,2.411794424057007,0.27743476684099244,0.228019888474136,-3.957917491261602,0.0
18,9.248810291290283,-6.6647303203375365,10.246580946757517,18.499947760655953,-48.30582577273987,0.0,2.5782120470386234,0.05,0.04692959785461426,1.267280101776123,0.025742065,0.020596592,-6.631482015445792,0.0,40000,2.390005588531494,0.2768697560839368,0.22598590722161713,-3.9630053049108374,0.0
19,9.226632118225098,-7.6424608369533065,14.366258503746632,38.3262682550535,-150.48285530567617,0.0,2.1079678155165316,0.05,0.05186152458190918,1.314732551574707,0.024571914,0.018482266,-6.732579897596544,0.0,40000,2.4072234630584717,0.3568839814146134,0.2708757679657525,-3.94418656529689,0.0
20,9.217882633209229,-6.136756126641595,10.891076057260003,46.11423986953137,-61.32299384423994,0.0,2.670804397805433,0.05,0.05733656883239746,1.2658474445343018,0.025728235,0.01961311,-6.672997520501049,0.0,40000,2.389958620071411,0.30461456100992773,0.24011087839534984,-4.16903137208888,0.0
21,9.234892845153809,-7.991426102912466,11.80052757236208,42.811228756494266,-92.39132946819758,0.0,2.231234926807,0.05,0.04887223243713379,1.272146463394165,0.025741138,0.022710385,-6.804840378742191,0.0,40000,2.434478998184204,0.3304534327168371,0.2587944985337563,-3.9904058292008826,0.0
22,9.251828908920288,-8.507625510519015,10.59507744850967,24.11007627485019,-63.631303373533925,0.0,2.4484176866486145,0.05,0.052860260009765625,1.2837178707122803,0.02470528,0.020284727,-6.975118891919873,0.0,40000,2.3978922367095947,0.1930909744891077,0.158226583042577,-4.594372167105252,0.0
23,9.384133100509644,-5.57462034257564,7.9760389378282435,14.974339628604406,-42.17173982039027,0.0,2.396689021751923,0.05,0.05145001411437988,1.2737205028533936,0.025857324,0.021136047,-6.83506903698545,0.0,40000,2.372789144515991,0.28402761161908396,0.24132425598308369,-4.715406950983442,0.0
24,9.239679336547852,-4.829880621012955,10.4628674446413,42.01613553038389,-48.26471498282603,0.0,2.504919437207685,0.05,0.046395301818847656,1.277930736541748,0.025542926,0.020813731,-6.634550195388201,0.0,40000,2.414577007293701,0.45357072831080786,0.3604025464445558,-4.968977000036584,0.0
25,9.124645709991455,-6.826312741639715,12.56290959863909,20.463049897101154,-90.72976749074607,0.0,2.4698260141897794,0.05,0.04787135124206543,1.3243892192840576,0.025330933,0.019171713,-6.653726450013352,0.0,40000,2.415055990219116,0.3339790385222827,0.24815201083410524,-4.978938911685316,0.0
26,9.347817182540894,-5.949861652029633,10.186460316168848,34.016472913033404,-87.23423133911751,0.0,1.8153146879368267,0.05,0.04787158966064453,1.3013582229614258,0.023767311,0.053632777,-6.583339970214981,0.0,40000,2.390479803085327,0.365638827785481,0.28334043982427587,-4.953280352139715,0.0
27,9.243706941604614,-5.33233690850139,10.170175859615775,25.505392094937086,-63.820734931989335,0.0,2.2455174571130283,0.05,0.05038332939147949,1.2759878635406494,0.024905087,0.021508433,-6.458239664043622,0.0,40000,2.3328285217285156,0.40225415005206777,0.3251055105604973,-4.62792187800963,0.0
28,9.23141360282898,-7.115158638053783,12.910100580435786,13.035534562170621,-106.27558310020578,0.0,1.8939057372499377,0.05,0.04986095428466797,1.2755975723266602,0.025051912,0.02753601,-6.5239315614446385,0.0,40000,2.3095476627349854,0.39191312672697004,0.2699812750736291,-4.892140019603044,0.0
